시/도,구,단지명,URL,전용면적,평수,층,시군구,실거래가,매매_계약일자,매매최고가,갭투자구분,갭투자금액,전세가율,전세가,전세_계약일자
전라남도,순천시,연동대주2차 ( 2005년),https://new.land.naver.com/complexes/19528,59.9476㎡,24평,1층,순천시 조례동,1억5천450,2024.01.08,1억8천800,전세낀매수,6천450,58,9천,2014.10.25
전라남도,순천시,현대1 ( 1993년),https://new.land.naver.com/complexes/4656,84.69㎡,30A평,4층,순천시 연향동,1억5천400,2024.02.29,1억8천300,전세낀매수,2천200,85,1억3천200,2023.03.15
전라남도,순천시,동성 ( 1995년),https://new.land.naver.com/complexes/4678,84.95㎡,30평,7층,순천시 연향동,1억5천300,2024.01.25,2억300,전세낀매수,4천300,71,1억1천,2011.07.02
전라남도,순천시,동신2 ( 1998년),https://new.land.naver.com/complexes/4730,93.22㎡,34평,6층,순천시 조례동,1억5천300,2024.01.23,2억2천,전세낀매수,3천300,78,1억2천,2014.01.26
전라남도,순천시,호반리젠시빌1 ( 2000년),https://new.land.naver.com/complexes/100887,59.9191㎡,25평,1층,순천시 연향동,1억4천700,2024.03.19,1억8천,매수후전세,2천700,81,1억2천,2024.03.19
전라남도,순천시,부영9 ( 1997년),https://new.land.naver.com/complexes/109926,84.99㎡,31평,10층,해룡면 상삼리,1억4천700,2024.02.24,1억8천100,전세낀매수,0,100,1억4천700,2017.02.01
전라남도,순천시,동아 ( 1993년),https://new.land.naver.com/complexes/4690,84.88㎡,32평,19층,순천시 조례동,1억4천500,2024.02.16,1억9천400,전세낀매수,1천,93,1억3천500,2020.07.27
전라남도,순천시,연동대주1차 ( 2003년),https://new.land.naver.com/complexes/106359,59.96㎡,23평,7층,순천시 조례동,1억4천500,2024.01.11,1억7천700,전세낀매수,1천500,89,1억3천,2019.02.18
전라남도,순천시,동성 ( 1995년),https://new.land.naver.com/complexes/4678,73.86㎡,27평,1층,순천시 연향동,1억4천400,2024.02.15,1억7천500,전세낀매수,400,97,1억4천,2021.03.10
전라남도,여수시,e편한세상여수더퍼스트 ( 2021년),https://new.land.naver.com/complexes/144591,84.9971㎡,,12층,여수시 학동,5억5천,2024.02.24,5억9천,전세낀매수,3억7천,32,1억8천,2022.01.19
전라남도,여수시,포레나여수웅천2단지 ( 2019년),,100.6965㎡,39B평,5층,여수시 웅천동,5억3천,2024.02.03,6억7천,전세낀매수,2억6천750,49,2억6천250,2023.04.16
전라남도,여수시,포레나여수웅천2단지 ( 2019년),,100.1241㎡,39A평,8층,여수시 웅천동,5억2천700,2024.02.16,7억2천,전세낀매수,2억2천700,56,3억,2023.02.13
전라남도,여수시,포레나여수웅천1단지 ( 2019년),,84.9552㎡,34B평,12층,여수시 웅천동,4억9천500,2024.01.13,5억3천,전세낀매수,2억2천500,54,2억7천,2022.02.10
전라남도,여수시,힐스테이트죽림젠트리스 ( 2021년),https://new.land.naver.com/complexes/128286,84.9455㎡,33평,3층,소라면 죽림리,4억8천300,2024.03.15,5억3천,전세낀매수,2억1천300,55,2억7천,2024.01.02
전라남도,여수시,e편한세상여수더퍼스트 ( 2021년),https://new.land.naver.com/complexes/144591,73.9943㎡,,24층,여수시 학동,4억8천,2024.02.21,4억,전세낀매수,1억7천,64,3억1천,2023.08.03
전라남도,여수시,e편한세상여수더퍼스트 ( 2021년),https://new.land.naver.com/complexes/144591,73.9993㎡,,17층,여수시 학동,4억7천,2024.03.22,4억8천500,전세낀매수,2억,57,2억7천,2023.08.11
전라남도,여수시,신영웅천지웰2차 ( 2013년),https://new.land.naver.com/complexes/103596,84.773㎡,33A평,7층,여수시 웅천동,4억5천500,2024.02.15,5억7천900,전세낀매수,2억500,54,2억5천,2023.02.10
